NAME                                     CPU(cores)   MEMORY(bytes)   
currencyservice-7c8fc8fc9c-4hm9g         11m          114Mi           
frontend-7bd6f45654-s2s7z                10m          52Mi            
recommendationservice-7444754ff5-n8cbh   10m          81Mi            
cartservice-7c84fdfb6-m5m6d              6m           176Mi           
emailservice-66944ff59-2lcjl             5m           94Mi            
productcatalogservice-65bbf699df-j2fmg   5m           44Mi            
adservice-574bff445c-6mj7s               3m           287Mi           
redis-cart-c8ff86559-kcf44               3m           36Mi            
checkoutservice-5b6d96c9b7-45rkr         2m           38Mi            
paymentservice-9bfb7bf5-kgd56            2m           126Mi           
shippingservice-f956b6d9f-w7n4b          2m           31Mi            
