adservice-574bff445c-qb9cj               31m   273Mi   
cartservice-7c84fdfb6-m5m6d              45m   188Mi   
checkoutservice-5b6d96c9b7-45rkr         8m    38Mi    
currencyservice-7c8fc8fc9c-4hm9g         55m   125Mi   
currencyservice-7c8fc8fc9c-5frj9         2m    81Mi    
currencyservice-7c8fc8fc9c-mgwx9         37m   123Mi   
emailservice-66944ff59-2lcjl             7m    95Mi    
frontend-7bd6f45654-przgb                44m   38Mi    
frontend-7bd6f45654-s2s7z                38m   56Mi    
frontend-7bd6f45654-vfxkp                46m   39Mi    
paymentservice-9bfb7bf5-kgd56            4m    114Mi   
productcatalogservice-65bbf699df-j2fmg   41m   44Mi    
recommendationservice-7444754ff5-n8cbh   73m   58Mi    
redis-cart-c8ff86559-kcf44               5m    37Mi    
shippingservice-f956b6d9f-w7n4b          7m    35Mi    
