adservice-574bff445c-6mj7s               16m   250Mi   
cartservice-7c84fdfb6-m5m6d              9m    156Mi   
checkoutservice-5b6d96c9b7-45rkr         1m    33Mi    
currencyservice-7c8fc8fc9c-4hm9g         14m   112Mi   
emailservice-66944ff59-2lcjl             3m    94Mi    
frontend-7bd6f45654-s2s7z                12m   39Mi    
paymentservice-9bfb7bf5-kgd56            2m    116Mi   
productcatalogservice-65bbf699df-j2fmg   6m    42Mi    
recommendationservice-7444754ff5-n8cbh   11m   79Mi    
redis-cart-c8ff86559-kcf44               3m    35Mi    
shippingservice-f956b6d9f-w7n4b          1m    30Mi    
